Distance_(pixels),Gray_Value
0,248.360
1,248.726
2,248.811
3,249.638
4,247.654
5,240.257
6,219.490
7,195.592
8,169.159
9,140.956
10,113.939
11,100.557
12,92.134
13,80.443
14,68.208
15,58.129
16,50.026
17,45.591
18,41.947
19,39.498
20,36.830
21,32.773
22,28.056
23,24.402
24,22.867
25,22.609
26,22.024
27,23.068
28,22.396
29,18.998
30,18.298
31,18.075
32,19.084
33,19.776
34,19.376
35,17.940
36,17.074
37,16.886
38,14.842
39,16.201
40,14.393
41,12.636
42,13.728
43,13.523
44,12.135
45,12.317
46,10.983
47,11.756
48,12.277
49,12.253
50,11.994
51,11.501
52,11.690
53,12.021
54,11.164
55,11.356
56,11.952
57,12.981
58,12.508
59,11.614
60,11.571
61,12.494
62,11.553
63,12.030
64,11.730
65,11.492
66,11.531
67,11.597
68,11.460
69,12.135
70,11.832
71,11.384
72,11.104
73,11.027
74,10.374
75,9.713
76,10.587
77,11.827
78,12.383
79,10.932
80,10.004
81,10.649
82,11.526
83,11.871
84,10.972
85,9.835
86,11.314
87,10.891
88,10.630
89,10.568
90,10.783
91,10.994
92,11.235
93,11.187
94,10.772
95,10.830
96,11.503
97,12.796
98,12.903
99,11.885
100,11.921
101,11.660
102,10.954
103,10.005
104,10.090
105,10.522
106,10.608
107,10.060
108,10.085
109,10.774
110,12.701
111,13.155
112,13.103
113,11.546
114,11.170
115,10.616
116,10.586
117,10.476
118,10.002
119,10.136
120,10.122
121,10.472
122,10.507
123,10.920
124,11.046
125,11.448
126,11.897
127,10.800
128,9.702
129,9.793
130,10.525
131,11.606
132,11.561
133,11.221
134,9.969
135,10.258
136,10.288
137,9.810
138,9.041
139,8.808
140,9.629
141,9.996
142,10.371
143,9.979
144,9.776
145,9.361
146,9.344
147,9.551
148,9.937
149,10.381
150,9.155
151,9.986
152,10.736
153,11.041
154,10.600
155,10.157
156,10.491
157,10.887
158,10.379
159,10.522
160,10.561
161,10.771
162,11.390
163,12.163
164,12.265
165,12.797
166,11.461
167,11.481
168,11.880
169,11.666
170,11.049
171,10.404
172,9.986
173,9.732
174,10.146
175,9.759
176,9.760
177,10.079
178,9.818
179,9.362
180,9.210
181,9.619
182,9.588
183,9.428
184,9.441
185,9.753
186,10.723
187,10.968
188,10.434
189,9.776
190,9.747
191,9.606
192,8.915
193,8.815
194,8.873
195,9.066
196,9.726
197,10.159
198,9.815
199,9.886
200,10.787
201,12.318
202,11.960
203,10.100
204,9.599
205,10.566
206,11.365
207,11.200
208,11.008
209,11.174
210,11.208
211,11.207
212,11.085
213,11.061
214,10.150
215,10.000
216,9.474
217,9.330
218,9.305
219,9.296
220,9.558
221,9.655
222,9.890
223,9.495
224,9.737
225,10.624
226,10.379
227,8.927
228,8.777
229,10.220
230,10.268
231,9.482
232,9.040
233,9.861
234,11.163
235,11.629
236,10.784
237,9.575
238,8.621
239,8.920
240,9.630
241,10.257
242,10.532
243,10.174
244,9.992
245,9.501
246,10.052
247,8.988
248,8.769
249,9.701
250,10.525
251,10.074
252,9.824
253,10.506
254,10.601
255,10.606
256,10.247
257,9.701
258,9.283
259,9.257
260,10.453
261,11.514
262,11.065
263,10.068
264,9.122
265,9.266
266,9.877
267,10.373
268,10.049
269,9.537
270,9.469
271,9.646
272,10.001
273,9.989
274,9.871
275,9.983
276,10.313
277,10.868
278,10.595
279,10.494
280,10.848
281,11.306
282,10.644
283,9.387
284,9.575
285,10.683
286,10.903
287,11.091
288,10.495
289,9.126
290,9.132
291,10.012
292,10.984
293,11.447
294,10.988
295,10.957
296,10.597
297,9.963
298,10.437
299,11.507
300,12.097
301,11.693
302,11.560
303,10.862
304,10.076
305,9.645
306,10.110
307,10.799
308,10.981
309,10.363
310,10.645
311,11.232
312,11.498
313,11.301
314,11.241
315,12.036
316,11.907
317,11.198
318,10.807
319,11.096
320,11.199
321,10.848
322,10.160
323,9.681
324,10.064
325,10.690
326,10.972
327,11.027
328,10.981
329,10.759
330,10.343
331,10.442
332,11.231
333,12.038
334,10.871
335,9.772
336,9.712
337,10.695
338,11.000
339,10.305
340,9.863
341,10.381
342,10.690
343,10.441
344,10.232
345,10.200
346,10.200
347,10.200
348,10.329
349,10.472
350,10.064
351,9.456
352,8.722
353,8.548
354,8.693
355,9.279
356,9.248
357,9.419
358,9.308
359,9.100
360,9.202
361,9.181
362,9.451
363,9.577
364,9.750
365,9.962
366,10.854
367,10.782
368,10.006
369,8.889
370,8.157
371,8.047
372,8.607
373,9.052
374,9.772
375,10.360
376,11.012
377,11.293
378,10.282
379,9.113
380,8.485
381,8.353
382,9.396
383,9.363
384,9.750
385,10.000
386,9.623
387,8.194
388,7.457
389,8.209
390,9.533
391,9.917
392,9.811
393,9.800
394,9.734
395,9.598
396,9.493
397,9.100
398,9.507
399,9.439
400,9.389
401,10.124
402,10.223
403,9.257
404,9.347
405,10.640
406,10.150
407,9.925
408,9.951
409,10.075
410,10.676
411,11.378
412,11.511
413,11.394
414,11.372
415,11.604
416,11.523
417,11.189
418,11.203
419,11.613
420,11.461
421,10.745
422,11.063
423,11.226
424,10.872
425,10.801
426,11.325
427,11.834
428,12.113
429,12.157
430,10.666
431,9.998
432,9.997
433,10.108
434,10.092
435,10.003
436,10.215
437,10.746
438,10.275
439,9.624
440,9.520
441,9.610
442,9.787
443,9.727
444,9.881
445,10.337
446,10.063
447,9.486
448,9.561
449,9.988
450,10.459
451,10.285
452,9.846
453,9.816
454,9.729
455,10.299
456,11.088
457,10.658
458,9.671
459,9.544
460,9.678
461,9.618
462,9.538
463,10.346
464,10.754
465,9.748
466,8.846
467,9.334
468,9.999
469,9.886
470,9.532
471,9.330
472,9.307
473,9.300
474,9.354
475,9.400
476,9.517
477,9.665
478,9.132
479,8.824
480,9.117
481,8.974
482,8.423
483,8.200
484,8.431
485,8.683
486,8.501
487,8.634
488,8.726
489,8.917
490,9.048
491,8.722
492,8.232
493,8.336
494,9.166
495,9.417
496,8.837
497,8.098
498,7.624
499,7.650
500,8.584
501,9.623
502,9.607
503,9.139
504,8.958
505,8.921
506,8.864
507,9.025
508,9.128
509,9.385
510,9.638
511,9.396
512,9.204
513,9.940
514,10.458
515,9.827
516,9.107
517,9.251
518,10.277
519,10.613
520,9.665
521,9.341
522,9.672
523,9.961
524,10.581
525,11.593
526,10.979
527,8.876
528,7.964
529,8.721
530,8.901
531,9.290
532,10.258
533,9.426
534,9.373
535,10.219
536,9.557
537,9.388
538,10.137
539,10.717
540,10.037
541,8.731
542,8.663
543,9.431
544,9.422
545,9.490
546,9.600
