Distance_(pixels),Gray_Value
0,243.149
1,245.048
2,245.046
3,241.303
4,222.948
5,179.436
6,135.508
7,100.040
8,78.548
9,67.178
10,57.854
11,54.495
12,50.990
13,44.354
14,37.958
15,30.488
16,28.504
17,25.836
18,22.442
19,20.966
20,21.775
21,21.470
22,18.959
23,17.650
24,18.147
25,17.729
26,16.694
27,15.688
28,15.488
29,16.275
30,16.688
31,16.332
32,15.795
33,13.276
34,12.351
35,13.583
36,13.570
37,11.370
38,12.325
39,13.744
40,12.677
41,12.613
42,11.898
43,12.907
44,11.587
45,9.797
46,11.165
47,11.837
48,9.282
49,9.687
50,9.900
51,10.043
52,10.277
53,10.599
54,10.649
55,10.411
56,10.373
57,9.503
58,9.984
59,10.390
60,10.158
61,9.697
62,9.532
63,9.585
64,10.019
65,9.700
66,10.536
67,11.134
68,10.934
69,10.791
70,9.994
71,10.046
72,10.008
73,10.188
74,10.534
75,10.449
76,10.170
77,10.644
78,10.901
79,10.495
80,9.739
81,9.339
82,9.607
83,10.033
84,10.325
85,10.738
86,10.596
87,10.904
88,10.940
89,10.695
90,9.894
91,9.722
92,10.195
93,10.723
94,10.306
95,10.365
96,10.846
97,11.008
98,10.662
99,11.093
100,11.326
101,11.145
102,10.345
103,10.251
104,10.970
105,9.639
106,9.331
107,9.557
108,9.941
109,10.533
110,11.127
111,10.917
112,10.414
113,12.303
114,12.445
115,11.910
116,11.367
117,11.708
118,12.159
119,11.670
120,11.044
121,9.938
122,10.149
123,9.175
124,8.889
125,8.792
126,9.320
127,10.407
128,10.195
129,9.645
130,10.070
131,10.349
132,10.324
133,9.839
134,9.861
135,9.424
136,9.839
137,9.786
138,10.324
139,10.366
140,9.786
141,9.754
142,10.220
143,11.211
144,11.706
145,10.601
146,10.454
147,10.386
148,10.031
149,9.645
150,9.211
151,8.844
152,8.877
153,9.950
154,8.782
155,8.019
156,8.209
157,8.945
158,9.468
159,9.324
160,8.429
161,8.840
162,9.663
163,10.649
164,10.710
165,10.531
166,10.231
167,10.385
168,10.750
169,9.724
170,10.110
171,10.301
172,10.493
173,10.733
174,10.394
175,9.650
176,9.463
177,10.202
178,10.219
179,10.264
180,10.500
181,10.463
182,10.292
183,9.974
184,9.902
185,10.915
186,11.470
187,10.545
188,8.847
189,8.439
190,9.998
191,10.312
192,9.702
193,9.506
194,8.445
195,7.685
196,7.845
197,9.890
198,11.452
199,11.524
200,11.354
201,9.389
202,9.843
203,10.152
204,9.984
205,9.471
206,8.975
207,9.640
208,10.412
209,9.282
210,9.574
211,9.613
212,9.025
213,9.098
214,10.269
215,10.270
216,8.943
217,10.008
218,10.030
219,9.795
220,10.020
221,10.426
222,10.472
223,9.399
224,8.594
225,8.638
226,8.795
227,8.968
228,9.280
229,9.207
230,9.619
231,9.878
232,10.221
233,9.323
234,9.028
235,8.868
236,8.690
237,8.988
238,9.173
239,10.061
240,10.575
241,11.037
242,10.442
243,10.257
244,11.168
245,11.183
246,10.278
247,10.382
248,11.118
249,9.907
250,9.638
251,9.716
252,9.420
253,9.764
254,10.056
255,10.191
256,10.366
257,10.120
258,10.567
259,10.972
260,11.008
261,10.924
262,10.354
263,10.527
264,10.456
265,10.539
266,10.573
267,10.888
268,11.295
269,10.994
270,10.848
271,10.509
272,10.461
273,9.137
274,8.670
275,8.327
276,8.424
277,8.892
278,9.000
279,8.733
280,8.327
281,8.267
282,8.957
283,9.709
284,9.780
285,9.592
286,9.421
287,9.449
288,9.815
289,9.992
290,9.770
291,9.946
292,10.979
293,10.854
294,9.920
295,9.348
296,9.755
297,10.309
298,10.358
299,10.596
300,11.151
301,11.843
302,12.156
303,12.044
304,11.494
305,10.914
306,11.163
307,11.446
308,12.116
309,12.295
310,12.281
311,12.392
312,12.297
313,13.444
314,12.283
315,11.046
316,10.765
317,10.232
318,9.689
319,10.129
320,11.211
321,11.364
322,11.434
323,11.155
324,10.124
325,9.143
326,9.070
327,9.728
328,10.046
329,8.990
330,8.937
331,9.262
332,9.376
333,10.114
334,11.083
335,11.063
336,10.128
337,9.840
338,10.425
339,11.473
340,12.239
341,12.242
342,11.616
343,10.784
344,10.732
345,10.386
346,10.323
347,10.408
348,10.167
349,9.754
350,9.885
351,10.451
352,11.328
353,11.573
354,10.704
355,10.279
356,10.829
357,11.000
358,10.235
359,9.919
360,10.634
361,11.117
362,10.988
363,10.296
364,10.941
365,12.277
366,12.738
367,12.045
368,11.031
369,10.979
370,10.566
371,9.559
372,9.431
373,9.692
374,10.327
375,10.534
376,10.991
377,10.468
378,10.294
379,10.174
380,9.819
381,9.813
382,10.155
383,10.638
384,11.058
385,10.147
386,9.367
387,9.793
388,10.878
389,10.898
390,9.939
391,10.012
392,10.910
393,9.739
394,9.216
395,9.025
396,9.030
397,9.178
398,9.230
399,8.912
400,8.669
401,9.436
402,10.196
403,10.445
404,10.169
405,9.468
406,8.819
407,8.861
408,9.499
409,9.639
410,9.472
411,9.410
412,9.989
413,10.627
414,11.000
415,10.829
416,10.028
417,9.286
418,9.506
419,10.232
420,10.522
421,9.713
422,9.127
423,9.436
424,10.638
425,10.993
426,10.701
427,10.518
428,10.337
429,10.232
430,10.071
431,10.117
432,10.059
433,9.836
434,9.664
435,9.749
436,10.222
437,10.823
438,11.001
439,10.678
440,10.246
441,10.082
442,9.823
443,9.355
444,8.938
445,8.620
446,9.060
447,10.066
448,11.062
449,9.894
450,9.592
451,9.577
452,9.218
453,8.680
454,8.872
455,9.538
456,10.410
457,9.961
458,8.831
459,8.405
460,9.451
461,10.298
462,9.766
463,9.068
464,9.150
465,9.140
466,9.600
